A	B	C	b_limite	Volumen	Area
4.200000	0.600000	5.000000	6.528000	103.211200	133.261400
4.300000	0.600000	4.900000	6.518000	88.227300	123.249400
4.300000	0.600000	5.000000	6.594000	98.249940	130.745700
4.400000	0.600000	4.900000	6.584000	83.114590	120.309300
4.400000	0.600000	5.000000	6.660000	93.098870	127.990400
4.400000	0.600000	5.100000	6.734000	103.525400	135.636300
4.500000	0.600000	5.000000	6.726000	87.753410	124.956800
4.500000	0.600000	5.100000	6.800000	98.140760	132.792400
4.500000	0.600000	5.200000	6.876000	108.979200	140.636400
4.600000	0.600000	5.000000	6.794000	82.209340	121.611500
4.600000	0.600000	5.100000	6.868000	92.557150	129.688300
4.600000	0.600000	5.200000	6.942000	103.355600	137.703000
4.600000	0.600000	5.300000	7.016000	114.613900	145.696500
4.700000	0.600000	5.100000	6.934000	86.770780	126.219400
4.700000	0.600000	5.200000	7.008000	97.529030	134.480000
4.700000	0.600000	5.300000	7.082000	108.746400	142.673500
4.700000	0.600000	5.400000	7.158000	120.432500	150.866900
4.800000	0.600000	5.200000	7.076000	91.494860	130.933500
4.800000	0.600000	5.300000	7.150000	102.671300	139.379700
4.800000	0.600000	5.400000	7.224000	114.315700	147.753000
4.900000	0.600000	5.300000	7.218000	96.384430	135.731200
4.900000	0.600000	5.400000	7.290000	107.987100	144.338200
4.900000	0.600000	5.500000	7.366000	120.066300	152.917000
5.000000	0.600000	5.400000	7.358000	101.442300	140.587700
5.000000	0.600000	5.500000	7.432000	113.478900	149.405400
5.000000	0.600000	5.600000	7.506000	126.001500	158.139600
5.100000	0.600000	5.500000	7.500000	106.671100	145.551900
5.100000	0.600000	5.600000	7.574000	119.149900	154.556700
5.200000	0.600000	5.600000	7.640000	112.073500	150.574200
5.200000	0.600000	5.700000	7.714000	125.002700	159.765800
5.300000	0.600000	5.700000	7.782000	117.652500	155.704600
5.400000	0.600000	5.800000	7.924000	123.411100	160.918500
5.700000	0.600000	6.000000	8.274000	127.028500	166.690700
3.900000	0.700000	4.400000	5.878000	84.796450	116.271200
4.000000	0.700000	4.500000	6.020000	90.043720	121.269900
4.100000	0.700000	4.500000	6.086000	84.041420	117.910500
4.100000	0.700000	4.600000	6.160000	95.496760	126.339900
4.200000	0.700000	4.600000	6.228000	89.199780	122.897900
4.200000	0.700000	4.700000	6.302000	101.159300	131.539000
4.300000	0.700000	4.600000	6.296000	82.650840	119.030700
4.300000	0.700000	4.700000	6.370000	94.560810	127.984900
4.400000	0.700000	4.700000	6.438000	87.704040	123.996800
4.400000	0.700000	4.800000	6.510000	100.127800	133.141500
4.500000	0.700000	4.700000	6.506000	80.583480	119.427800
4.500000	0.700000	4.800000	6.578000	92.956510	129.031900
4.500000	0.700000	4.900000	6.652000	105.905200	138.426900
4.600000	0.700000	4.800000	6.648000	85.515060	124.358400
4.600000	0.700000	4.900000	6.720000	98.411800	134.194800
4.600000	0.700000	5.000000	6.794000	111.896100	143.811800
4.700000	0.700000	4.900000	6.788000	90.642650	129.357400
4.700000	0.700000	5.000000	6.862000	104.074000	139.456100
4.700000	0.700000	5.100000	6.934000	118.104500	149.264300
4.800000	0.700000	5.000000	6.930000	95.969970	134.483400
4.800000	0.700000	5.100000	7.002000	109.946700	144.785400
4.800000	0.700000	5.200000	7.076000	124.534800	154.847500
4.900000	0.700000	5.100000	7.072000	101.500600	139.707500
4.900000	0.700000	5.200000	7.144000	116.033700	150.243500
5.000000	0.700000	5.200000	7.212000	107.238800	144.998000
5.000000	0.700000	5.300000	7.286000	122.338900	155.800300
5.100000	0.700000	5.300000	7.354000	113.187700	150.417300
5.200000	0.700000	5.400000	7.496000	119.351600	155.934400
5.300000	0.700000	5.400000	7.566000	109.525500	149.423500
